지점명,지점번호,일시,중간기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr),전운량(1/10),소형증발량(mm),현지기압(hPa),해면기압(hPa),평균풍속(m/sec)
서울,108,07-01,24.75,28.3,21.2,20.9,74.5,4.8,,,995.3,1005.0,
서울,108,07-02,24.75,28.3,21.2,17.9,74.9,5.0,,,994.9,1004.6,
서울,108,07-03,24.9,28.6,21.2,17.4,73.8,5.5,,,995.0,1004.7,
서울,108,07-04,25.200000000000003,29.1,21.3,16.3,71.9,5.9,,,995.1,1004.8,
서울,108,07-05,25.3,29.3,21.3,12.9,69.6,6.3,,,995.5,1005.2,
서울,108,07-06,25.45,29.5,21.4,10.5,68.6,6.3,,,996.2,1005.9,
서울,108,07-07,25.6,29.6,21.6,10.6,68.8,5.8,,,996.8,1006.6,
서울,108,07-08,25.65,29.5,21.8,10.8,69.5,5.3,,,996.9,1006.6,
서울,108,07-09,25.7,29.4,22.0,9.5,71.5,4.8,,,996.9,1006.6,
서울,108,07-10,25.700000000000003,29.1,22.3,11.4,73.8,4.1,,,996.7,1006.4,
서울,108,07-11,25.65,28.9,22.4,16.3,75.6,3.6,,,996.0,1005.7,
서울,108,07-12,25.6,28.7,22.5,16.5,76.3,3.8,,,995.7,1005.4,
서울,108,07-13,25.55,28.6,22.5,14.9,76.6,3.9,,,996.1,1005.8,
서울,108,07-14,25.4,28.5,22.3,16.1,76.5,4.1,,,996.5,1006.2,
서울,108,07-15,25.4,28.6,22.2,13.5,75.8,4.2,,,997.2,1006.9,
서울,108,07-16,25.75,29.1,22.4,7.7,74.5,4.5,,,998.2,1007.9,
서울,108,07-17,26.0,29.5,22.5,8.2,73.7,4.7,,,998.5,1008.2,
서울,108,07-18,26.450000000000003,30.1,22.8,6.3,72.5,5.2,,,998.5,1008.1,
서울,108,07-19,27.0,30.7,23.3,4.0,71.5,5.3,,,998.4,1008.0,
서울,108,07-20,27.450000000000003,31.1,23.8,6.0,71.5,5.3,,,998.1,1007.7,
서울,108,07-21,27.5,30.9,24.1,12.7,72.7,4.7,,,997.5,1007.1,
서울,108,07-22,27.299999999999997,30.4,24.2,12.5,74.4,4.0,,,997.2,1006.8,
서울,108,07-23,27.25,30.2,24.3,15.9,75.9,3.6,,,997.0,1006.6,
서울,108,07-24,27.05,30.0,24.1,21.1,76.8,3.7,,,996.8,1006.5,
서울,108,07-25,27.0,29.9,24.1,24.6,77.2,3.9,,,996.8,1006.4,
서울,108,07-26,27.0,29.9,24.1,20.6,77.4,4.2,,,997.0,1006.6,
서울,108,07-27,27.25,30.3,24.2,21.1,76.6,4.5,,,997.3,1006.9,
서울,108,07-28,27.45,30.5,24.4,18.1,75.7,4.7,,,997.5,1007.1,
서울,108,07-29,27.65,30.6,24.7,15.7,75.9,4.6,,,997.7,1007.3,
서울,108,07-30,28.0,31.1,24.9,10.8,75.1,5.1,,,997.9,1007.5,
서울,108,07-31,28.35,31.6,25.1,8.6,73.5,5.2,,,998.0,1007.6,
